"ModuleName","FileName","Size","Company","Description","ISOSBinary","SignatureType","Status","Subject","Issuer","SerialNumber","NotBefore","NotAfter","ThumbPrint"
"7-zip.dll","C:\Program Files\7-Zip\7-zip.dll","108","Igor Pavlov","7-Zip Shell Extension","False","None","NotSigned",,,,,,
"aadcloudap.dll","C:\Windows\SYSTEM32\aadcloudap.dll","1104","Microsoft Corporation","AAD Cloud AP Plugin","True","Catalog","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","330000038C385D5C2E7483CCFB00000000038C","5/5/2022 12:23:14 PM","5/4/2023 12:23:14 PM","745A64E580C00EE694639E92FC9C8AC1BEAC5E5D"
"aadWamExtension.dll","C:\Windows\System32\aadWamExtension.dll","220","Microsoft Corporation","AAD WAM extension DLL","True","Catalog","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","330000038C385D5C2E7483CCFB00000000038C","5/5/2022 12:23:14 PM","5/4/2023 12:23:14 PM","745A64E580C00EE694639E92FC9C8AC1BEAC5E5D"
"AboveLockAppHost.dll","C:\Windows\System32\AboveLockAppHost.dll","416","Microsoft Corporation","AboveLockAppHost","True","Catalog","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","330000038C385D5C2E7483CCFB00000000038C","5/5/2022 12:23:14 PM","5/4/2023 12:23:14 PM","745A64E580C00EE694639E92FC9C8AC1BEAC5E5D"
"AccountAccessor.dll","C:\Windows\System32\AccountAccessor.dll","296","Microsoft Corporation","Sync data model to access accounts","True","Catalog","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","330000038C385D5C2E7483CCFB00000000038C","5/5/2022 12:23:14 PM","5/4/2023 12:23:14 PM","745A64E580C00EE694639E92FC9C8AC1BEAC5E5D"
"ACPBackgroundManagerPolicy.dll","C:\Windows\System32\ACPBackgroundManagerPolicy.dll","232","Microsoft Corporation","<d> ACP Background Manager Policy DLL","True","Catalog","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","330000038C385D5C2E7483CCFB00000000038C","5/5/2022 12:23:14 PM","5/4/2023 12:23:14 PM","745A64E580C00EE694639E92FC9C8AC1BEAC5E5D"
"acppage.dll","C:\Windows\system32\acppage.dll","148","Microsoft Corporation","Compatibility Tab Shell Extension Library","True","Catalog","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","330000038C385D5C2E7483CCFB00000000038C","5/5/2022 12:23:14 PM","5/4/2023 12:23:14 PM","745A64E580C00EE694639E92FC9C8AC1BEAC5E5D"
"Actioncenter.dll","C:\Windows\System32\Actioncenter.dll","376","Microsoft Corporation","Security and Maintenance","True","Catalog","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","330000038C385D5C2E7483CCFB00000000038C","5/5/2022 12:23:14 PM","5/4/2023 12:23:14 PM","745A64E580C00EE694639E92FC9C8AC1BEAC5E5D"
"activationclient.dll","C:\Windows\system32\activationclient.dll","180","Microsoft Corporation","Activation Client","True","Catalog","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","330000038C385D5C2E7483CCFB00000000038C","5/5/2022 12:23:14 PM","5/4/2023 12:23:14 PM","745A64E580C00EE694639E92FC9C8AC1BEAC5E5D"
"activationmanager.dll","C:\Windows\system32\activationmanager.dll","952","Microsoft Corporation","Activation Manager","True","Catalog","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","330000038C385D5C2E7483CCFB00000000038C","5/5/2022 12:23:14 PM","5/4/2023 12:23:14 PM","745A64E580C00EE694639E92FC9C8AC1BEAC5E5D"
"ActXPrxy.dll","C:\Windows\System32\ActXPrxy.dll","636","Microsoft Corporation","ActiveX Interface Marshaling Library","True","Catalog","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","330000038C385D5C2E7483CCFB00000000038C","5/5/2022 12:23:14 PM","5/4/2023 12:23:14 PM","745A64E580C00EE694639E92FC9C8AC1BEAC5E5D"
"AdaptiveCards.ObjectModel.Uwp.dll","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AdaptiveCards.ObjectModel.Uwp.dll","1964","Microsoft Corporation","AdaptiveCards.ObjectModel.Uwp.dll","True","Catalog","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","330000038C385D5C2E7483CCFB00000000038C","5/5/2022 12:23:14 PM","5/4/2023 12:23:14 PM","745A64E580C00EE694639E92FC9C8AC1BEAC5E5D"
"AdaptiveCards.Rendering.Uwp.dll","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AdaptiveCards.Rendering.Uwp.dll","1664","Microsoft Corporation","AdaptiveCards.Rendering.Uwp.dll","True","Catalog","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","330000038C385D5C2E7483CCFB00000000038C","5/5/2022 12:23:14 PM","5/4/2023 12:23:14 PM","745A64E580C00EE694639E92FC9C8AC1BEAC5E5D"
"adhapi.dll","C:\Windows\system32\adhapi.dll","40","Microsoft Corporation","AD harvest sites and subnets API","True","Catalog","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","330000038C385D5C2E7483CCFB00000000038C","5/5/2022 12:23:14 PM","5/4/2023 12:23:14 PM","745A64E580C00EE694639E92FC9C8AC1BEAC5E5D"
